radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,3,32229,5379,,10.370925,48.442581,29734,2523,1,1291417231,1472142969,-74
GSM,262,3,3719,4879,,10.152219,48.479595,195894,8584,1,1291417242,1472143590,-71
GSM,262,7,20205,2227,,13.308714,52.512136,147476,17066,1,1299573448,1472143673,-56
GSM,262,7,20225,42206,,13.318041,52.500694,92199,12211,1,1299573448,1472144206,-60
GSM,262,7,20205,47553,,13.292022,52.506996,158959,9721,1,1299573955,1472142719,-54
GSM,262,7,20205,22233,,13.25542,52.518439,158277,6124,1,1299573955,1472144293,-66
GSM,262,7,20205,42208,,13.278864,52.508057,139792,13938,1,1299573955,1472142594,-54
UMTS,262,3,40014,132000288,305,12.269154,51.631265,5043,119,1,1299581425,1472143745,-102
GSM,262,7,20211,42442,,13.057855,52.327024,166464,2487,1,1299581425,1472141352,-71
GSM,262,7,20211,42415,,13.048345,52.305495,108105,4687,1,1299581425,1472141600,-66
GSM,262,7,20211,25014,,13.040583,52.30139,113714,4308,1,1299581425,1472141352,-68
GSM,262,7,20211,22414,,13.033465,52.306218,128533,2125,1,1299581425,1472141600,-72
GSM,262,7,20211,2543,,13.029985,52.304746,128250,3774,1,1299581425,1472141227,-70
GSM,262,7,20211,42920,,12.859764,52.189823,105657,2759,1,1299581425,1472143534,-63
GSM,262,7,20255,42915,,12.579632,52.019113,127987,1727,1,1299581425,1472143535,-75
GSM,262,7,20255,22903,,12.391903,51.873283,105597,7351,1,1299581425,1472143837,-60
UMTS,262,7,21604,46180522,418,12.217154,51.584133,10192,53,1,1299581425,1472143753,-106
GSM,262,2,791,8912,,12.177801,51.594013,133620,24074,1,1299582178,1472142969,-52
GSM,262,2,821,13752,,11.61585,48.13555,13749,5369,1,1299582178,1472142097,-51
GSM,262,2,832,32461,,11.682259,48.009124,36721,5697,1,1299582178,1472141101,-51
GSM,262,2,890,21422,,11.616013,48.11164,15936,15538,1,1299582178,1472143341,-51
GSM,262,2,841,643,,10.506238,48.427117,84892,4687,1,1299582178,1472142969,-51
GSM,262,2,685,32792,,7.787924,49.465648,75422,6420,1,1299584114,1472142342,-51
GSM,262,2,685,20591,,7.760826,49.457817,66628,6289,1,1299584114,1472142438,-52
GSM,262,7,20205,2220,,13.326714,52.526966,176369,12446,1,1301668631,1472142095,-57
GSM,262,3,20453,3663,,13.326381,52.514415,228104,18356,1,1301668631,1472143961,-53
GSM,262,7,20205,2204,,13.324782,52.514718,125921,11907,1,1301668631,1472143961,-60
GSM,262,3,20453,3653,,13.327275,52.5105,125811,13599,1,1301668631,1472143961,-66
GSM,262,7,20205,5048,,13.316101,52.514486,125406,10541,1,1301668631,1472143093,-57
GSM,262,7,20205,2472,,13.295504,52.508068,132333,13429,1,1301668631,1472142719,-60
GSM,262,2,308,361,,13.356851,52.502087,72683,30025,1,1301674832,1472143464,-52
GSM,262,7,20201,2382,,13.393064,52.512475,158163,8293,1,1301751016,1472143714,-60
GSM,262,7,20201,22382,,13.396826,52.508759,180205,7103,1,1301751016,1472143838,-60
GSM,262,7,20201,42002,,13.393244,52.516393,158539,3943,1,1301751016,1472143838,-60
GSM,262,7,20201,42482,,13.377346,52.513423,157650,3180,1,1301751016,1472143714,-55
